"gene","protein_class","molecular_action","key_substrates","subcellular","tissues","cell_types","pathways","ko_phenotype","ko_severity","neural_phenotype","cerebellar_evidence","cancer_types","cancer_role","neuro_disease","differentiation_role","one_line_summary"
"Lrrtm3","adhesion molecule","postsynaptic adhesion molecule promoting excitatory presynaptic differentiation; interacts with neurexin (requires heparan sulfate) and LAR-RPTPs; regulates dendritic spine density and excitatory synapses in dentate gyrus","NRXN1/2/3 (heparan sulfate-modified); LAR-RPTPs; PSD-95","postsynaptic membrane","brain (hippocampus, dentate gyrus)","neurons (dentate gyrus granule cells)","synaptogenesis; excitatory synapse development; neurexin-LRRTM signaling","abnormal CNS synaptic transmission; abnormal action potential; decreased paired-pulse facilitation; decreased excitatory PSC amplitude; decreased dendritic spine density","mild-moderate","abnormal CNS transmission; decreased paired-pulse facilitation; decreased excitatory PSC amplitude; decreased dendritic spine density","dentate gyrus granule neuron excitatory synapse development","neuroblastoma (prognostic expression)","expression-based neuroblastoma prognostic signature (not functional)","late-onset Alzheimer disease (GWAS; LRRTM3 haplotype association); autism spectrum disorder (LRR variant association)","essential for excitatory synapse development of dentate gyrus granule neurons","Postsynaptic LRR adhesion molecule required for excitatory synapse development of hippocampal dentate gyrus granule neurons via neurexin-heparan sulfate interaction; GWAS-linked to late-onset Alzheimer disease"
"Rtn4r","receptor","receptor for RTN4/Nogo-A, OMG, MAG, chondroitin sulfate proteoglycans, and gangliosides GT1b/GM1; signals via NGFR co-receptor to activate Rho and inhibit axon growth; new evidence for BAI adhesion-GPCR ligand activity","RTN4/Nogo-A; OMG; MAG; NGFR; BAI1/2/3 (BAI adhesion-GPCRs)","plasma membrane","brain; spinal cord","neurons; oligodendrocytes","Rho/ROCK signaling; axon regeneration inhibition; myelin inhibition; postnatal brain development; corpus callosum formation","impaired coordination; decreased exploration; enhanced CNS regeneration; abnormal axon extension; abnormal spatial learning; abnormal social behavior","moderate","impaired coordination; enhanced CNS regeneration after injury; abnormal axon extension; abnormal spatial learning; abnormal social behavior","implicated in cerebellar circuit formation through Nogo/myelin signaling context",NA,"not established as cancer driver","schizophrenia (22q11 candidate gene; myelin-inhibition signaling); CNS ischemia","mediates myelin-dependent inhibition of axonal sprouting; required for corpus callosum formation","Nogo/RTN4 receptor mediating myelin-dependent inhibition of axon regeneration; KO enhances CNS axon regeneration; postnatal brain development role; schizophrenia candidate"
"Prkce","kinase","calcium-independent DAG/phospholipid-dependent serine/threonine kinase; phosphorylates MARCKS, vimentin, KRT8, ITGB1; regulates cell adhesion, migration, apoptosis, ion channels, and neuron growth","MARCKS; vimentin; KRT8; ITGB1; PTK2/FAK","cytoplasm; plasma membrane; nucleus","brain; heart; immune cells; testis","neurons; cardiomyocytes; macrophages; T cells","PKC signaling; integrin signaling; cytoskeletal regulation; apoptosis; neuronal growth","decreased TNF secretion; decreased body size; increased susceptibility to bacterial infection; increased myocardial infarct size; decreased macrophage apoptosis; decreased NK cell number","moderate","implicated in neuronal growth and ion channel regulation (functional studies); SHORT syndrome neurological phenotype with PRKCE mutation",NA,"non-Hodgkin's lymphoma (methylation); medulloblastoma (miR-129 target network); prostate cancer","context-dependent; targeted by miR-129 in MB; methylation-altered in B-cell lymphomas","SHORT syndrome (novel PRKCE mutation with intellectual disability); Parkinson disease (LRRK2-PAK6 network)","regulates neurite outgrowth and neuronal differentiation downstream of PKC signaling","Calcium-independent PKC isoform regulating neuronal growth, cytoskeletal dynamics, and ion channels; novel mutations cause SHORT syndrome with intellectual disability; targeted by miR-129 in medulloblastoma"
"Gpr158","GPCR","atypical metabotropic glycine receptor; recruits and regulates RGS7-GNB5 complex instead of activating G proteins; controls cAMP levels; regulates synapse formation; acts as osteocalcin receptor for bone-brain signaling","RGS7-GNB5 complex; G protein alpha subunits; GPC4 (glypican 4, extracellular cis-ligand)","plasma membrane; postsynaptic density","brain; prostate; retina","neurons (prefrontal cortex, hippocampus); Purkinje cells","RGS7/Gi signaling; cAMP regulation; synaptogenesis; bone-brain axis (osteocalcin signaling); GnRH neuron regulation","decreased anxiety; abnormal neuron morphology; decreased stress-induced hyperthermia; enhanced AMPA-mediated currents; increased dendritic spine density; increased EPSC frequency; decreased depression-related behavior","mild-moderate","decreased anxiety; abnormal glutamatergic neuron morphology; enhanced AMPA currents; increased spine density; decreased depression-like behavior","GPR158 expressed in cerebellar Purkinje cells; involved in synaptic organization","prostate cancer (androgen-regulated; loss promotes castration resistance); glioma (expression-associated)","GPR158 loss promotes castration-resistant prostate cancer; expression altered in glioma","Alzheimer disease (expression association); depression (GPR158 regulates glucocorticoid-induced depression circuits); intraocular pressure regulation","mediates osteocalcin effects on neuronal proliferation and differentiation; regulates synapse formation","Atypical GPCR acting as glycine/osteocalcin receptor that recruits RGS7-GNB5 to regulate cAMP and synaptic AMPA currents; KO decreases anxiety and increases dendritic spines; expressed in cerebellar Purkinje cells"
"Slitrk4","adhesion molecule","transmembrane LRR adhesion molecule; suppresses neurite outgrowth; promotes synapse differentiation; organizes inhibitory synapses (inferred from family)",NA,"plasma membrane","brain (olfactory bulb, amygdala)","neurons","synaptogenesis; LAR-RPTP signaling; synaptic organization","decreased exploration; abnormal amygdala morphology; enhanced LTP; decreased aggression; abnormal brain interneuron morphology; abnormal synaptic plasticity; decreased prepulse inhibition; decreased social investigation; abnormal olfactory behavior","moderate","decreased exploration; abnormal amygdala morphology; enhanced LTP; decreased prepulse inhibition; abnormal synaptic plasticity; decreased social investigation",NA,"leiomyosarcoma (expression screen); hypertrophic cardiomyopathy (expression screen)","expression altered in sarcoma and HCM screens (not functional)","neuropsychiatric disorders (SLITRK family association); Fragile X syndrome (network)","suppresses neurite outgrowth; promotes synapse differentiation","Transmembrane LRR adhesion molecule abundant in amygdala and olfactory bulb that suppresses neurite outgrowth and promotes synapse differentiation; KO mice show enhanced LTP and abnormal social and olfactory behavior"
"Gpr68","GPCR","proton/pH-sensing Gq-coupled receptor; responds to acidosis; mediates shear stress mechanosensing in endothelium; regulates cAMP via IP3/DAG; synaptic proton signaling; osteoblast pH sensor","Gq; phospholipase C; diacylglycerol; IP3","plasma membrane","brain; vasculature; bone; adipose; hematopoietic system","hippocampal neurons; endothelial cells; osteoblasts; macrophages; hematopoietic stem cells","Gq/PLC/IP3 signaling; proton-sensing; mechanosensing; hippocampal LTP; bone acid sensing; cAMP regulation","decreased circulating glucagon; decreased insulin; increased insulin sensitivity; abnormal osteoclast differentiation; decreased tumor growth; increased monocytes","mild-moderate","GPR68 promotes hippocampal LTP; proton-mediated synaptic modulation; neuroprotection in acidotic/ischemic conditions","expressed in hippocampus; mediates proton signaling for LTP",NA,"decreased tumor growth in KO; possible tumor-suppressive role via microenvironment pH sensing","depression; Alzheimer disease; neurofibromatosis (NF1 Schwann cell context); glaucoma (intraocular pressure)","expressed during hippocampal neurogenesis context (functional relationship unclear)","Proton/pH-sensing Gq-GPCR expressed in hippocampus mediating acid-induced synaptic modulation and LTP; also an endothelial mechanosensor; linked to depression and Alzheimer disease"
"Flrt1","adhesion molecule","type I transmembrane LRR protein; potentiates FGFR1-mediated MAP kinase signaling; mediates cell-cell adhesion and repulsion via latrophilin (ADGRL1/3) and Unc5 interactions; regulates cortical neuron migration and cortical folding","FGFR1; ADGRL1/ADGRL3; Unc5D","plasma membrane; extracellular space (shed ectodomain)","brain (cortex); kidney","cortical neurons; kidney cells","FGF/FGFR/MAPK signaling; cell-cell adhesion; cortical neuron migration; cortical folding","no abnormal phenotype detected (single KO); cortical folding when combined with FLRT3 KO","mild (single KO)","combined FLRT1/FLRT3 KO causes cortical folding (sulci formation) due to increased lateral neuron dispersion","FLRT1 expressed in kidney and brain; role in cerebellar context not established","pediatric high-grade glioma (H3K27M context, expression screen)","expression altered in H3K27M DIPG/pHGG (screen, not functional)",NA,"promotes neurite outgrowth via FGFR1/MAPK; regulates cortical neuron migration speed and adhesion during cortical development","Transmembrane LRR-FnIII adhesion molecule that potentiates FGFR1/MAPK signaling and mediates cortical neuron migration; combined loss with FLRT3 causes cortical folding"
"Rapgef4","GTPase/regulator","cAMP-activated GEF (EPAC2) for RAP1A, RAP1B, RAP2A; mediates cAMP/PKA-independent exocytosis via RIMS2 interaction; regulates insulin secretion and cardiac function","RAP1A; RAP1B; RAP2A; RIMS2","cytoplasm; plasma membrane","pancreatic islets; heart; brain; adipose","beta cells; cardiomyocytes; neurons","cAMP/EPAC/RAP1 signaling; insulin exocytosis; synaptic vesicle exocytosis; cardiac calcium homeostasis","abnormal insulin secretion; ventricular tachycardia; decreased circulating calcium; thrombocytopenia; decreased fasting glucose","moderate",NA,"expressed in brain; role in cAMP-dependent synaptic exocytosis via RIMS2 interaction","glioma (EPAC signaling context); melanoma (cAMP/EPAC differential response)","cAMP-EPAC signaling mediates differential melanoma cell growth response; altered in glioma (not functional)",NA,"mediates cAMP-PKA-independent exocytosis downstream signals relevant to neuronal secretion","cAMP-activated RAP1-GEF (EPAC2) that links cAMP signals to RAP1 activation and exocytosis; regulates insulin secretion; KO shows cardiac arrhythmia and impaired insulin secretion"
"Syt12","other","synaptic vesicle phosphoprotein; enhances spontaneous neurotransmitter release without affecting evoked release; Ca2+-independent (no Ca2+ or phospholipid binding); required for mossy-fiber LTP",NA,"synaptic vesicle","brain (hippocampus, cerebellum)","neurons","spontaneous neurotransmitter release; mossy-fiber LTP; thyroid hormone-regulated gene program",NA,NA,"essential for mossy-fiber LTP in hippocampus; expressed in cerebellum (thyroid hormone-regulated)","Syt12 is thyroid hormone-regulated in cerebellum and expressed in cerebellar context",NA,"not a cancer driver","ADHD (genetic association); aging-related cognitive decline (hippocampal proteome)","thyroid hormone-regulated expression during cerebellar development","Ca2+-independent synaptotagmin that enhances spontaneous neurotransmitter release and is required for mossy-fiber LTP; thyroid hormone-regulated during cerebellar development"
"Sorl1","receptor","multi-ligand sorting receptor; directs APP to trans-Golgi/prevents amyloid-beta generation; sorts NTRK2/TrkB for BDNF signaling; sorts GDNF; interacts with retromer complex for endosomal cargo trafficking","APP; NTRK2/TrkB; GDNF; LDL","trans-Golgi network; endolysosomes; retromer complex","brain; vasculature; kidney","neurons; astrocytes; microglia; endothelial cells","endosomal sorting; APP/amyloid-beta trafficking; retromer complex; BDNF/NTRK2 signaling; GDNF secretion","amyloid beta deposits; abnormal object recognition memory; neuron degeneration; tau deposits; impaired spatial learning; abnormal cholinergic neuron morphology; abnormal gait","severe (neural)","amyloid deposits; neuron degeneration; tau deposits; impaired spatial learning; cholinergic neuron loss; abnormal gait","expressed and functional in brain neurons; KO causes neurodegeneration and cognitive impairment",NA,"not established as cancer driver","Alzheimer disease (strong genetic risk locus; loss-of-function variants causative; endosomal trafficking mechanism); vascular dementia","controls APP trafficking and amyloid-beta production; regulates BDNF receptor recycling critical for neuron survival","Endosomal sorting receptor that retains APP in trans-Golgi to prevent amyloid-beta generation and routes NTRK2 for BDNF signaling; loss-of-function variants causally implicated in Alzheimer disease"
"Vamp8","other","R-SNARE mediating autophagosome-lysosome fusion (with STX17-SNAP29); required for dense-granule secretion in platelets; mediates zymogen granule exocytosis in pancreatic acinar cells; involved in interferon antiviral response","STX17; SNAP29; STX7; YKT6; TRIM6","autophagosome; lysosome; secretory granule; midbody","pancreas; platelets; brain; mammary gland","acinar cells; platelets; neurons; mast cells; dendritic cells","autophagy (autophagosome-lysosome fusion); SNARE-mediated exocytosis; antiviral interferon signaling; endosome fusion","abnormal mast cell degranulation; abnormal pancreas secretion; decreased susceptibility to pancreatitis; abnormal pancreatic acinar zymogen granules; postnatal lethality (incomplete)","moderate","not described in neural-specific studies; autophagy role likely in neurons","not specifically demonstrated","glioblastoma (autophagy-radioresistance); lung cancer (exosome secretion)","VAMP8-dependent autophagy promotes GBM radioresistance; VAMP8 mediates tumor exosome secretion in NSCLC",NA,"mediates autophagosome-lysosome fusion relevant to neuronal protein degradation","R-SNARE essential for autophagosome-lysosome fusion and regulated exocytosis; promotes glioblastoma radioresistance via autophagy; mediates platelet dense-granule and pancreatic acinar secretion"
"Cntn2","adhesion molecule","GPI-anchored neural cell adhesion molecule (TAG-1); organizes juxtaparanodal Kv1.1 channels with CNTNAP2; mediates axon fasciculation and neuronal migration; promotes oligodendrocyte maturation and myelination","CNTNAP2; Kv1.1 channels; contactin subset receptors","plasma membrane; extracellular","brain; spinal cord","neurons; oligodendrocytes; motor neurons","axon fasciculation; juxtaparanodal domain organization; myelination; neuronal migration; retinal ganglion cell axon guidance","sporadic seizures; increased susceptibility to pharmacologically induced seizures; abnormal sensory neuron innervation; abnormal spinal cord dorsal horn morphology","moderate","seizures; abnormal sensory neuron innervation; abnormal spinal cord dorsal horn morphology","oligodendrocyte maturation and myelination; cerebellar context not established","PCOS (expression association in omics study, not functional)","not established as cancer driver","epilepsy (juxtaparanodal Kv1.1 channel organization disruption); multiple sclerosis (myelin repair); POLYCYSTIC OVARY SYNDROME (omics association)","role in oligodendrocyte differentiation and myelination","GPI-anchored IgSF adhesion molecule organizing juxtaparanodal Kv1.1 channels and promoting myelination; KO causes seizures due to loss of juxtaparanodal channel organization"
"Sv2b","transporter","synaptic vesicle glycoprotein; Ca2+-dependent function in regulated exocytosis; receptor for botulinum toxins A/D/E; probably controls regulated secretion in neural and endocrine cells",NA,"synaptic vesicle membrane","brain; retina; neuroendocrine cells","neurons; retinal neurons; beta cells","synaptic vesicle exocytosis; Ca2+-dependent secretion; insulin secretion","seizures; decreased body size; abnormal retina neuronal layer morphology; abnormal rod electrophysiology","moderate","seizures; abnormal retina neuronal layer; abnormal rod electrophysiology","expressed in retina; role in retinal neuron physiology and rod photoreceptor function","medulloblastoma (miRNA screen identifying SV2B as MB target)","SV2B identified as medulloblastoma therapeutic target candidate in miRNA biosynthesis study","epilepsy; Alzheimer disease (synaptic density biomarker); Parkinson disease","promotes Ca2+-dependent regulated secretion during neuronal and neuroendocrine differentiation","Synaptic vesicle glycoprotein mediating Ca2+-dependent regulated exocytosis; KO causes seizures and retinal dysfunction; identified as MB therapeutic target candidate; used as synaptic density PET marker"
"Vsnl1","other","neuronal calcium sensor protein; Ca2+-dependent regulator of rhodopsin phosphorylation; VILIP-1; binds calcium and regulates cAMP signaling; proposed CSF biomarker","rhodopsin kinase (inhibition)","cytoplasm; plasma membrane","brain; retina; adrenal gland","neurons; photoreceptors; adrenal cortical cells","calcium sensing; cAMP signaling; Hippo pathway context (adrenal); neuronal signaling","no MGI KO phenotype listed","not described","expressed in brain and retina; implicated in cognitive function via GWAS","medulloblastoma with extensive nodularity (MBEN) molecular signature; expressed in MB","VSNL1 expressed in MBEN cohort molecular analysis; expression in cerebellar context","schizophrenia (SNP association with frontal cortical function and Wisconsin Card Sorting Test performance); aging-related cognitive decline","expressed during neural differentiation; thyroid hormone context in developing brain","Neuronal calcium sensor (VILIP-1) that Ca2+-dependently inhibits rhodopsin phosphorylation; GWAS association with schizophrenia and cognitive function; expressed in MBEN medulloblastoma",""
"Rit2","GTPase/regulator","small neuronal RAS-like GTPase (no CAAX motif); binds and exchanges GTP/GDP; modulates POU4F1/BRN3A transcriptional activity; regulates DAT internalization downstream of PKC","POU4F1/BRN3A; DAT (SLC6A3)","cytoplasm; plasma membrane","brain (substantia nigra, dopaminergic neurons)","dopaminergic neurons","RAS/MAPK signaling; DAT endocytic trafficking; PKC signaling; neuronal gene regulation","NA (no MGI KO phenotype listed)","not described","expressed in dopaminergic neurons; RIT2 cluster identified in PD dopaminergic neurons",NA,"not established as cancer driver","Parkinson disease (risk allele; expressed in vulnerable DA neuron population; regulates DAT trafficking); schizophrenia; bipolar disorder; autism; multiple sclerosis (SNP/GA-STR associations)","expressed during dopaminergic neuron differentiation; modulates BRN3A activity","Neuronal RAS-like GTPase without CAAX motif that regulates DAT internalization and BRN3A transcription; Parkinson disease risk allele expressed in vulnerable dopaminergic neurons",""
"Pclo","scaffold/adaptor","presynaptic active zone cytomatrix scaffold (Piccolo); organizes synaptic vesicle cluster; regulates readily releasable pool; recruits SIAH1 for ubiquitination; regulates presynaptic autophagy; forms Piccolo-Bassoon transport vesicles (PTVs)","SIAH1 (ubiquitin ligase); RIMS1; BASSOON; RIM-binding proteins","presynaptic active zone; Golgi-derived PTVs","brain; liver","neurons; liver cells (developmental)","presynaptic active zone assembly; synaptic vesicle priming; ubiquitin-proteasome; presynaptic autophagy; axon transport","postnatal lethality (complete); abnormal synaptic vesicle number; increased synaptic depression; increased neurotransmitter release; abnormal liver/vascular development; embryonic growth retardation","lethal","postnatal lethal; increased synaptic depression; increased neurotransmitter release; abnormal synaptic vesicles","pontocerebellar hypoplasia type III (PCH3) caused by PCLO mutations","glioblastoma (subtype-specific prognostic gene); endometrial cancer (frequently mutated structural gene); AML (mutated)","PCLO mutations in endometrial cancer cooperate with SYNE1; prognostic in GBM subtypes; mutated in AML","bipolar disorder (expression QTL in brain); pontocerebellar hypoplasia type 3 (PCLO mutations)","organizes presynaptic active zone for synaptic vesicle docking and release","Presynaptic active zone scaffold organizing readily releasable vesicle pool and regulating neurotransmitter release; PCLO mutations cause pontocerebellar hypoplasia type 3; frequently mutated in endometrial cancer"
"Unc13c","other","diacylglycerol-sensing vesicle priming protein (Munc13 family); required for synaptic vesicle maturation and exocytosis; regulates parallel fiber-Purkinje cell synapse transmission","diacylglycerol; calcium; SNARE complex priming","presynaptic active zone","brain (cerebellum)","cerebellar granule neurons; Purkinje cells","DAG signaling; vesicle priming; synaptic transmission at parallel fiber-Purkinje cell synapses; motor learning","abnormal CNS synaptic transmission; abnormal motor learning; enhanced paired-pulse facilitation","mild-moderate","abnormal CNS synaptic transmission; abnormal motor learning; enhanced paired-pulse facilitation","KO specifically impairs parallel fiber-Purkinje cell synaptic transmission and motor learning - direct cerebellar evidence",NA,"not established as cancer driver",NA,"expressed in cerebellar granule neurons; loss impairs cerebellar-dependent motor learning","DAG-dependent vesicle priming protein (Munc13 family) required specifically for parallel fiber-Purkinje cell synaptic transmission and cerebellar motor learning"
"Syt9","other","Ca2+ sensor for vesicle exocytosis; C2-domain Ca2+ and phospholipid binding; mediates fast synaptic release; inhibits SNARE complex in insulin secretion; primary interface with SNAP-25 and syntaxin-1A","SNAP-25; syntaxin-1A; phospholipids; Ca2+","synaptic vesicle; secretory granule","brain; retina; pancreatic islets","neurons (dopaminergic, limbic); retinal cells; beta cells","Ca2+-triggered vesicle fusion; SNARE complex; insulin secretion inhibition; Cockayne syndrome downstream target","decreased exploration; hydrocephaly; increased red blood cell distribution width","mild","decreased exploration; hydrocephaly","expressed in cerebellum (thyroid hormone-regulated context); weak expression in many brain regions with elevated levels in select regions",NA,"not established as cancer driver","Cockayne syndrome (SYT9 ectopic expression partially rescues CSB-deficient neuronal differentiation)","Ca2+ sensor for fast synaptic release; SYT9 expression rescues neuronal differentiation defects in Cockayne syndrome","Ca2+ sensor synaptotagmin-9 mediating fast vesicle fusion via SNAP-25/syntaxin-1A interface; expressed in retina and brain; ectopic expression rescues Cockayne syndrome neuronal differentiation"
"Lgi1","secreted factor","secreted LRR protein; ligand for ADAM22 (postsynaptic) and ADAM23 (presynaptic); trans-synaptic complex linking Kv1.1 channels (via ADAM23) with AMPA receptors (via ADAM22); slows Kv1.1 inactivation; regulates myelination","ADAM22; ADAM23; KCNA1/Kv1.1; KCNAB1; AMPA receptors (via ADAM22-TARP-AMPAR complex)","extracellular; trans-synaptic cleft","brain (hippocampus, cortex, cerebellum)","neurons; oligodendrocytes","LGI1-ADAM22/23 trans-synaptic complex; Kv1.1 channel regulation; AMPAR synaptic transmission; myelination","seizures (lethal); premature death; abnormal AMPAR currents; decreased mEPSC amplitude; tonic-clonic seizures; neurodegeneration; gliosis; abnormal cerebellar external granule cell layer; abnormal hippocampal mossy fibers","lethal","seizures; lethal postnatally; abnormal AMPAR currents; neurodegeneration; gliosis; abnormal cerebellar EGL; abnormal hippocampal mossy fibers","LGI1 KO shows abnormal cerebellar external granule cell layer morphology; expressed in cerebellum; regulates myelination affecting cerebellar white matter",NA,"not established as cancer driver","autoimmune LGI1 encephalitis (VGKC complex antibodies); epilepsy (ADLTE; familial temporal lobe epilepsy); peripheral nerve hyperexcitability (Isaacs/Morvan syndromes); hypomyelination","expressed in developing cerebellum; regulates myelination; LGI1 KO disrupts cerebellar EGL","Secreted LGI-family synaptic organizer linking Kv1.1 channels to AMPA receptors via ADAM23/22 trans-synaptic complex; loss causes lethal epilepsy; autoantibodies cause autoimmune encephalitis; expressed in cerebellar EGL"
"Slitrk1","adhesion molecule","transmembrane LRR protein; promotes excitatory synapse differentiation; enhances dendrite outgrowth; suppresses noradrenergic projections in prefrontal cortex; interacts with LAR-RPTPs (PTPsigma/delta)","LAR-RPTPs (PTPsigma; PTPdelta)","plasma membrane","brain (prefrontal cortex, striatum); testis; skin","neurons; noradrenergic neurons; osteoblasts","synaptogenesis; LAR-RPTP signaling; noradrenergic axon projection; bone homeostasis","increased anxiety; abnormal brain morphology; decreased body weight; decreased locomotor activity; increased fear response; abnormal noradrenaline levels; postnatal lethality (incomplete)","moderate-severe","increased anxiety; abnormal brain morphology; decreased locomotion; increased fear; abnormal noradrenaline levels",NA,NA,"not established as cancer driver","Tourette syndrome (SLITRK1 mutations); obsessive-compulsive disorder; schizophrenia (S330A Homo sapiens-specific revertant mutation); bipolar disorder (A444S mutation)","promotes excitatory synapse differentiation and dendrite outgrowth during neural circuit formation","Transmembrane LRR adhesion molecule suppressing noradrenergic projections and promoting synapse differentiation; SLITRK1 mutations cause Tourette syndrome; expressed in prefrontal cortex circuits relevant to OCD"
"Tbx2","transcription factor","transcriptional repressor and activator; binds palindromic T-site DNA; represses NPPA; activates TGFB2; represses ADAM10","NPPA; TGFB2; ADAM10","nucleus","heart; limb; ear; pancreas; lung endothelium","cardiomyocytes; inner hair cells; outer hair cells; atrioventricular canal cells; pancreatic progenitors","Notch signaling; TGF-beta signaling; cardiac development; Wnt signaling","cardiovascular malformations; polydactyly; hydrops fetalis; embryonic lethality","lethal","inner hair cell identity; cochlear development; otic vesicle morphogenesis",NA,"rhabdomyosarcoma","oncogenic (promotes proliferation); context-dependent tumor suppressor",NA,"specifies inner vs outer hair cell identity in cochlea; regulates AVC development","T-box transcription factor that represses NPPA in the atrioventricular canal and is required for inner hair cell identity in the cochlea"
"Fgf23","secreted factor","endocrine phosphaturic hormone; inhibits renal phosphate reabsorption via SLC34A1; inhibits 1,25-OH vitamin D synthesis; decreases PTH secretion; upregulates EGR1 via Klotho co-receptor","SLC34A1; CYP27B1; PTH pathway; EGR1","extracellular (secreted)","bone (osteocytes); kidney","osteocytes; renal tubular cells","FGF/FGFR signaling; phosphate homeostasis; vitamin D metabolism; Klotho co-receptor pathway","hyperphosphatemia; ectopic calcification; premature death; abnormal skeleton; decreased body size","severe/lethal",NA,NA,NA,NA,"X-linked hypophosphatemia; autosomal recessive hypophosphatemic rickets; tumor-induced osteomalacia; multiple system atrophy (indirect)",NA,"Bone-derived hormone that is the master regulator of systemic phosphate and vitamin D homeostasis"
"Jup","structural protein","junctional plaque scaffold; links desmosomal cadherins to intermediate filaments; can substitute for beta-catenin in adherens junctions; activates VE-cadherin via VE-PTP","Desmoplakin; E-cadherin; beta-catenin; VE-PTP","plasma membrane; desmosome; adherens junction; cytoplasm","heart; liver; skin; brain; epithelium","cardiomyocytes; epithelial cells; neurons","Wnt/beta-catenin signaling; desmosome assembly; cell adhesion","cardiac defects; absent cardiac desmosomes; thin myocardium; embryonic lethality","severe/lethal","expressed in cerebral cortex neurons and glia; may promote axon outgrowth",NA,"gastric cancer; breast cancer","tumor suppressor (context-dependent); competes with beta-catenin for oncogenic signaling","arrhythmogenic cardiomyopathy (Naxos disease)","promotes axon outgrowth and motor fiber repair; required for cardiac and hepatic integrity","Desmosomal/adherens junction scaffold protein that links cadherins to cytoskeleton and can modulate Wnt signaling"
"Nfix","transcription factor","transcriptional activator (NFIX1 isoform) and repressor (NFIX3 isoform); binds palindromic NFI consensus sequence; controls neural stem cell differentiation and muscle development","NFI consensus DNA; chromatin remodeling targets; SMARCD3 targets","nucleus","brain; muscle; kidney; neocortex; hippocampus; cerebellum","neural stem cells; skeletal muscle progenitors; granule neurons; oligodendrocytes","SWI/SNF chromatin remodeling; Wnt signaling; MAPK signaling","hydrocephaly; megacephaly; ataxia; kyphosis; abnormal corpus callosum; decreased body size; abnormal cerebellum","severe","ataxia; hydrocephaly; abnormal corpus callosum; abnormal neural progenitor differentiation","expressed in cerebellum; controls neural progenitor differentiation in multiple CNS regions","medulloblastoma (SMARCD3/BAF60C-related)","pro-tumorigenic in multiple cancers (promotes proliferation and invasion); hijacked in MB metastasis","Malan syndrome (overgrowth/intellectual disability)","controls neural stem cell exit from proliferation and differentiation; regulates muscle satellite cell fate","NFI family transcription factor required for neural progenitor differentiation and muscle development; implicated in medulloblastoma metastasis via SWI/SNF complex"
"Ltbp2","ECM protein","structural component of elastic fiber microfibrils; scaffolds latent TGF-beta in ECM; maintains extracellular matrix architecture","Fibrillin-1; Fibrillin-2; LTBP1; TGF-beta LAP complex","extracellular matrix","lung; eye (ciliary zonule); liver; skin; vasculature","fibroblasts; smooth muscle cells; lens zonule cells","TGF-beta signaling; elastic fiber assembly; ECM remodeling","embryonic lethality (pre-somitic); abnormal iris; lens dislocation; abnormal ciliary zonules; hyperglycemia","severe/lethal",NA,NA,"prostate cancer (BCR biomarker); pulmonary fibrosis context","upregulated in IPF vs CTD-ILD; biomarker in fibrotic contexts","normal pressure hydrocephalus (CSF biomarker)",NA,"ECM glycoprotein that stabilizes elastic fibers and sequesters latent TGF-beta; mutations cause glaucoma and ectopia lentis"
"Psap","secreted factor","lysosomal sphingolipid hydrolase activator; neurotrophic and myelinotrophic factor; activates GPR37/GPR37L1; generates four saposins (A-D) by proteolytic cleavage; each saposin activates specific glycosphingolipid hydrolases","Glucocerebrosidase (GBA); Arylsulfatase A; beta-galactosidase; alpha-galactosidase A; sphingomyelin phosphodiesterase","lysosome; secreted","brain; nervous system; liver; multiple organs","neurons; oligodendrocytes; Schwann cells; macrophages","Sphingolipid metabolism; lysosomal hydrolase activation; neurotrophic signaling via GPR37; ERK signaling","seizures; demyelination; hindlimb paralysis; neurodegeneration; abnormal cerebellum; premature death","severe/lethal","seizures; demyelination; hindlimb paralysis; ataxia; abnormal cerebellum; neurodegeneration","abnormal cerebellum morphology; CNS inflammation",NA,NA,"Gaucher disease (GBA activator); multiple sphingolipidoses; Parkinson disease (GBA link)","provides neurotrophic support and activates lysosomal sphingolipid hydrolases critical for CNS myelination","Lysosomal chaperone precursor cleaved into four saposins that activate glycosphingolipid-degrading enzymes; also acts as neurotrophic factor via GPR37"
"Cadm3","adhesion molecule","calcium-independent homophilic and heterophilic cell-cell adhesion; axo-glial contact at paranodes; interacts with IGSF4/Nectin1/Nectin3; binds EPB41L1","CADM2; CADM4; NECTIN1; NECTIN3; IGSF4; EPB41L1","plasma membrane; axon","peripheral nervous system; brain; myelinated axons","Schwann cells; neurons; axons at paranodal regions","Axo-glial junction formation; myelination; paranodal organization","abnormal myelination","moderate","abnormal myelination (PNS and CNS)",NA,"superficial CD34-positive fibroblastic tumor (CADM3 rearrangement); colorectal cancer (methylation)","expressed as diagnostic marker in SCD34FT; methylation-silenced in colorectal cancer",NA,"promotes contact between Schwann cells and axons required for myelinated fiber organization","Axo-glial adhesion molecule mediating Schwann cell-axon contact at paranodes required for myelination"
